timestamp,date,latitude,longitude
1645564813,"2022-02-22 21:20:13",45.057733,7.680939
1645565366,"2022-02-22 21:29:26",45.057744,7.680953
1645566969,"2022-02-22 21:56:09",45.057735,7.680927
1645568758,"2022-02-22 22:25:58",45.05773,7.680942
1645569043,"2022-02-22 22:30:43",45.057732,7.680934
1645569314,"2022-02-22 22:35:14",45.057737,7.680927
1645569585,"2022-02-22 22:39:45",45.057738,7.680928
1645569855,"2022-02-22 22:44:15",45.057736,7.680928
1645570037,"2022-02-22 22:47:17",45.057816,7.680275
1645570069,"2022-02-22 22:47:49",45.057733,7.680934
1645570129,"2022-02-22 22:48:49",45.057739,7.680923
1645570429,"2022-02-22 22:53:49",45.057741,7.680937
1645571892,"2022-02-22 23:18:12",45.057816,7.680275
1645571924,"2022-02-22 23:18:44",45.057739,7.680929
1645576568,"2022-02-23 00:36:08",45.057742,7.680928
1645576807,"2022-02-23 00:40:07",45.057482,7.681425
1645583695,"2022-02-23 02:34:55",45.057738,7.680931
1645583988,"2022-02-23 02:39:48",45.057736,7.680926
1645584011,"2022-02-23 02:40:11",45.05721,7.678146
1645584048,"2022-02-23 02:40:48",45.05774,7.68092
1645584197,"2022-02-23 02:43:17",45.0577,7.681987
1645584212,"2022-02-23 02:43:32",45.057189,7.681358
1645584228,"2022-02-23 02:43:48",45.057739,7.680927
1645584258,"2022-02-23 02:44:18",45.057734,7.680935
1645596988,"2022-02-23 06:16:28",45.057733,7.680934
1645597268,"2022-02-23 06:21:08",45.057735,7.680941
1645597548,"2022-02-23 06:25:48",45.057743,7.680946
1645597825,"2022-02-23 06:30:25",45.057729,7.680979
1645597919,"2022-02-23 06:31:59",45.057607,7.681681
1645597932,"2022-02-23 06:32:12",45.057131,7.681589
1645597966,"2022-02-23 06:32:46",45.057139,7.682268
1645597983,"2022-02-23 06:33:03",45.057176,7.682735
1645598014,"2022-02-23 06:33:34",45.057554,7.682775
1645598048,"2022-02-23 06:34:08",45.058035,7.683154
1645598079,"2022-02-23 06:34:39",45.058378,7.683526
1645598089,"2022-02-23 06:34:49",45.059433,7.683495
1645598110,"2022-02-23 06:35:10",45.059856,7.683531
1645598144,"2022-02-23 06:35:44",45.059075,7.683952
1645598171,"2022-02-23 06:36:11",45.059571,7.684159
1645598197,"2022-02-23 06:36:37",45.060179,7.684221
1645598237,"2022-02-23 06:37:17",45.060469,7.685051
1645598274,"2022-02-23 06:37:54",45.06092,7.685166
1645598296,"2022-02-23 06:38:16",45.061182,7.685358
1645598330,"2022-02-23 06:38:50",45.061691,7.685322
1645598388,"2022-02-23 06:39:48",45.062168,7.685642
1645598421,"2022-02-23 06:40:21",45.062844,7.686462
1645598452,"2022-02-23 06:40:52",45.063375,7.68673
1645598460,"2022-02-23 06:41:00",45.062303,7.6858
