timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)"
1645571635,"2022-02-22 23:13:55",224,156,25.50746,21.482586,155,12,26,43
1645571695,"2022-02-22 23:14:55",227,157,22.482586,23.109905,157,13,22,46
1645571755,"2022-02-22 23:15:55",227,155,34.928307,25.419767,157,12,35,51
1645571815,"2022-02-22 23:16:55",231,156,48.524574,24.027628,158,12,49,48
1645571875,"2022-02-22 23:17:55",234,157,37.86713,27.60529,160,13,38,55
1645571935,"2022-02-22 23:18:55",234,157,28.60529,20.055964,160,13,29,40
1645571995,"2022-02-22 23:19:55",237,155,25.417078,27.06685,161,12,25,54
1645572055,"2022-02-22 23:20:55",215,156,33.23861,25.39042,151,12,33,51
1645572115,"2022-02-22 23:21:55",218,155,40.390587,25.71974,152,12,40,51
1645572175,"2022-02-22 23:22:55",208,155,26.71974,22.426907,148,12,27,45
1645572235,"2022-02-22 23:23:55",220,156,48.427097,26.285067,153,12,48,53
1645572295,"2022-02-22 23:24:55",213,158,53.07988,27.008741,150,13,55,54
1645572355,"2022-02-22 23:25:55",217,156,53.940414,24.46744,152,12,57,49
1645572415,"2022-02-22 23:26:55",223,156,30.532835,26.056578,155,12,31,52
1645572475,"2022-02-22 23:27:55",226,156,50.27569,21.654533,156,12,50,43
1645572535,"2022-02-22 23:28:55",223,154,22.654533,25.710161,155,12,23,51
1645572595,"2022-02-22 23:29:55",220,158,30.875496,18.01988,153,13,31,36
1645572655,"2022-02-22 23:30:55",225,156,38.432613,23.994097,156,12,38,48
1645572715,"2022-02-22 23:31:55",229,156,33.101547,23.559877,158,12,33,47
1645572775,"2022-02-22 23:32:55",225,155,24.559877,16.563354,156,12,25,33
1645572835,"2022-02-22 23:33:55",228,153,17.563354,23.422789,157,12,18,47
1645572895,"2022-02-22 23:34:55",228,155,56.37242,21.712612,157,12,61,43
1645572955,"2022-02-22 23:35:55",228,157,49.509083,23.887146,157,13,50,48
1645573015,"2022-02-22 23:36:55",233,159,29.512285,25.799395,160,13,30,52
1645573075,"2022-02-22 23:37:55",231,157,49.82631,23.80715,159,13,50,48
1645573135,"2022-02-22 23:38:55",235,155,39.78035,20.530836,161,12,40,41
1645573195,"2022-02-22 23:39:55",233,155,21.530836,19.477304,160,12,22,39
1645573255,"2022-02-22 23:40:55",233,158,28.17179,20.15951,160,13,28,40
1645573315,"2022-02-22 23:41:55",235,157,21.15951,18.0818,161,13,21,36
1645573375,"2022-02-22 23:42:55",233,156,44.073257,21.389658,160,12,44,43
1645573435,"2022-02-22 23:43:55",231,156,53.252556,23.120289,159,12,55,46
1645573495,"2022-02-22 23:44:55",233,155,30.738152,19.87308,160,12,31,40
1645573555,"2022-02-22 23:45:55",235,158,33.563553,19.403307,161,13,34,39
1645573615,"2022-02-22 23:46:55",237,158,20.403307,18.935486,162,13,20,38
1645573675,"2022-02-22 23:47:55",237,156,37.160355,20.157698,162,12,37,40
1645573735,"2022-02-22 23:48:55",237,156,24.537659,22.71935,162,12,25,45
1645573795,"2022-02-22 23:49:55",235,157,40.575268,20.433882,161,13,41,41
1645573855,"2022-02-22 23:50:55",239,156,21.433882,20.302288,163,12,21,41
1645573915,"2022-02-22 23:51:55",237,159,21.302288,18.386023,162,13,21,37
1645573975,"2022-02-22 23:52:55",235,155,22.961535,22.169468,161,12,23,44
1645574035,"2022-02-22 23:53:55",244,155,33.46775,21.472477,165,12,33,43
1645574095,"2022-02-22 23:54:55",239,157,28.466667,22.50013,163,13,28,45
1645574155,"2022-02-22 23:55:55",239,155,23.50013,20.305414,163,12,24,41
1645574215,"2022-02-22 23:56:55",239,156,21.305414,15.774426,163,12,21,32
1645574275,"2022-02-22 23:57:55",242,156,16.774426,18.914951,164,12,17,38
1645574335,"2022-02-22 23:58:55",240,156,34.959076,21.369598,163,12,35,43
1645574395,"2022-02-22 23:59:55",237,157,22.369598,23.525543,162,13,22,47
1645574455,"2022-02-23 00:00:55",240,155,26.912003,19.432018,163,12,27,39
1645574515,"2022-02-23 00:01:55",237,154,34.24964,17.814486,162,12,34,36
1645574575,"2022-02-23 00:02:55",240,155,31.790224,18.792822,163,12,32,38
1645574635,"2022-02-23 00:03:55",240,153,24.440935,18.240692,163,12,24,36
1645574695,"2022-02-23 00:04:55",238,157,19.240692,20.093857,162,13,19,40
1645574755,"2022-02-23 00:05:55",240,154,26.840744,21.333689,163,12,27,43
1645574815,"2022-02-23 00:06:55",240,154,22.760376,23.127558,163,12,23,46
1645574875,"2022-02-23 00:07:55",238,154,24.224045,19.367414,162,12,24,39
1645574935,"2022-02-23 00:08:55",242,155,20.367414,17.893724,164,12,20,36
1645574995,"2022-02-23 00:09:55",233,153,45.589874,19.583576,160,12,46,39
1645575055,"2022-02-23 00:10:55",233,154,20.583576,19.665447,160,12,21,39
1645575115,"2022-02-23 00:11:55",242,154,20.665447,18.578815,164,12,21,37
1645575175,"2022-02-23 00:12:55",236,156,19.578815,17.883919,161,12,20,36
1645575235,"2022-02-23 00:13:55",238,152,18.883919,17.96099,162,12,19,36
1645575295,"2022-02-23 00:14:55",236,154,18.96099,16.40022,161,12,19,33
1645575355,"2022-02-23 00:15:55",236,154,29.84386,17.113691,161,12,30,34
1645575415,"2022-02-23 00:16:55",236,157,44.430977,20.486448,161,13,44,41
1645575475,"2022-02-23 00:17:55",236,158,43.748108,22.064636,161,13,44,44
1645575535,"2022-02-23 00:18:55",236,154,39.625572,16.842728,161,12,40,34
1645575595,"2022-02-23 00:19:55",236,156,17.842728,17.79668,161,12,18,36
1645575655,"2022-02-23 00:20:55",238,156,25.468613,17.945494,162,12,25,36
1645575715,"2022-02-23 00:21:55",236,156,18.945494,19.45359,161,12,19,39
1645575775,"2022-02-23 00:22:55",240,155,20.45359,19.464676,163,12,20,39
1645575835,"2022-02-23 00:23:55",234,155,20.464676,15.902454,160,12,20,32
1645575895,"2022-02-23 00:24:55",234,155,38.747246,20.26347,160,12,39,41
1645575955,"2022-02-23 00:25:55",231,155,21.26347,19.057161,159,12,21,38
1645576015,"2022-02-23 00:26:55",236,153,20.057161,19.902895,161,12,20,40
1645576075,"2022-02-23 00:27:55",234,155,20.902895,18.618212,160,12,21,37
1645576135,"2022-02-23 00:28:55",232,153,30.592522,19.70963,159,12,31,39
1645576195,"2022-02-23 00:29:55",229,156,40.7666,19.036528,158,12,41,38
1645576255,"2022-02-23 00:30:55",234,155,20.036528,17.946886,160,12,20,36
1645576315,"2022-02-23 00:31:55",230,154,18.946886,17.971447,158,12,19,36
1645576375,"2022-02-23 00:32:55",230,153,24.302885,18.6313,158,12,24,37
1645576435,"2022-02-23 00:33:55",234,156,19.6313,18.952389,160,12,20,38
1645576495,"2022-02-23 00:34:55",187,154,19.952389,17.534983,138,12,20,35
1645576555,"2022-02-23 00:35:55",185,156,18.534983,19.839304,137,12,19,40
1645576615,"2022-02-23 00:36:55",180,155,24.626528,22.49842,135,12,25,45
