timestamp,latitude,longitude,PM10 (ug/m3)
1649773869,45.072212,7.684219,19.781363
1649773869,45.072212,7.684219,22.977489
1650792680,45.072273,7.683478,22.211311
1650792680,45.072273,7.683478,8.528784
1650792696,45.072105,7.684248,8.528784
1650793023,45.072369,7.684023,2.000000
1650793023,45.072369,7.684023,2.000000
1650793053,45.072231,7.684202,2.000000
1650793053,45.072231,7.684202,2.000000
1650793615,45.072987,7.684422,2.000000
1650793615,45.072987,7.684422,2.000000
1650793646,45.073612,7.685761,2.000000
1650793646,45.073612,7.685761,57.895958
1650793649,45.074062,7.685544,57.895958
1650793677,45.075596,7.686200,57.895958
1650793709,45.076656,7.687181,57.895958
1650793709,45.076656,7.687181,8.039576
1650793739,45.077705,7.688961,8.039576
1650793772,45.076527,7.689915,8.039576
1650793772,45.076527,7.689915,16.345106
1650793780,45.076420,7.690569,16.345106
1650793804,45.075378,7.691054,16.345106
1650793834,45.074345,7.692579,16.345106
1650793834,45.074345,7.692579,2.000000
1650793867,45.072296,7.684427,2.000000
1650793873,45.073566,7.694498,2.000000
1650793898,45.073193,7.696078,2.000000
1650793898,45.073193,7.696078,32.914474
1650793925,45.073421,7.697783,32.914474
1650793960,45.074707,7.698198,32.914474
1650793960,45.074707,7.698198,13.560764
1650793964,45.074448,7.698554,13.560764
1650793991,45.073944,7.699138,13.560764
1650794001,45.074638,7.701231,13.560764
1650794001,45.074638,7.701231,20.010008
1650794052,45.074951,7.704280,20.010008
1650794114,45.074944,7.706120,20.010008
1650794114,45.074944,7.706120,16.223196
1650794128,45.074924,7.707100,16.223196
1650794128,45.074924,7.707100,39.171661
1650794144,45.074818,7.708271,39.171661
1650794175,45.074429,7.710322,39.171661
1650794207,45.073635,7.712559,28.069197
1650794222,45.073151,7.713540,28.069197
1650794269,45.073502,7.715800,28.069197
1650794269,45.073502,7.715800,7.263840
1650794302,45.075268,7.718078,7.263840
1650794302,45.075268,7.718078,29.844559
1650794332,45.075954,7.719290,29.844559
1650794343,45.076206,7.719912,29.844559
1650794362,45.076477,7.721256,29.844559
1650794362,45.076477,7.721256,17.378290
1650794393,45.076897,7.723417,17.378290
1650794424,45.077309,7.725168,17.378290
1650794424,45.077309,7.725168,26.215191
1650794439,45.076660,7.725798,26.215191
1650794455,45.076180,7.726270,26.215191
1650794486,45.074757,7.726350,26.215191
1650794486,45.074757,7.726350,9.959526
1650794491,45.075443,7.727820,9.959526
1650794516,45.075298,7.729683,9.959526
1650794581,45.074375,7.726500,9.959526
1650794581,45.074375,7.726500,33.233036
1650794587,45.073711,7.728224,33.233036
1650794643,45.072136,7.725085,33.233036
1650794643,45.072136,7.725085,9.633270
1650794645,45.071686,7.725719,9.633270
1650794673,45.071815,7.723833,9.633270
1650794673,45.071815,7.723833,29.444563
1650794679,45.070564,7.724148,29.444563
1650794713,45.069752,7.722207,29.444563
1650794765,45.070686,7.718359,29.444563
1650794765,45.070686,7.718359,16.919949
1650794768,45.070156,7.718375,16.919949
1650794796,45.069042,7.716434,16.919949
1650794796,45.069042,7.716434,19.469692
1650794824,45.068920,7.714804,19.469692
1650794859,45.068447,7.712190,19.469692
1650794859,45.068447,7.712190,23.844383
1650794890,45.069252,7.710236,23.844383
1650794895,45.068024,7.709744,23.844383
1650794949,45.067337,7.706100,14.048340
1650794983,45.067532,7.703146,14.048340
1650794983,45.067532,7.703146,2.000000
1650795005,45.066013,7.702602,2.000000
1650795044,45.065479,7.698377,2.000000
1650795044,45.065479,7.698377,48.942554
1650795047,45.065025,7.699793,48.942554
1650795076,45.064793,7.700523,48.942554
1650795076,45.064793,7.700523,43.992348
1650795081,45.063824,7.699645,43.992348
1650795127,45.062912,7.698555,43.992348
1650795168,45.064365,7.698806,43.992348
1650795168,45.064365,7.698806,35.856255
1650795172,45.062038,7.697342,35.856255
1650795223,45.059711,7.695142,35.856255
1650795223,45.059711,7.695142,33.991547
1650795262,45.058243,7.693972,33.991547
1650795262,45.058243,7.693972,15.418767
1650795294,45.057236,7.693138,15.418767
1650795325,45.057053,7.694342,15.418767
1650795325,45.057053,7.694342,12.288177
1650795357,45.056038,7.696033,12.288177
1650795388,45.055420,7.696001,12.288177
1650795388,45.055420,7.696001,40.205982
1650795413,45.054962,7.695709,40.205982
1650795448,45.055183,7.696668,40.205982
1650795448,45.055183,7.696668,32.126179
1650795482,45.054317,7.698541,32.126179
1650795513,45.053444,7.698988,32.126179
1650795513,45.053444,7.698988,13.641263
1650795543,45.053684,7.701445,13.641263
1650795577,45.054028,7.703029,13.641263
1650795577,45.054028,7.703029,32.830101
1650795608,45.053398,7.704599,32.830101
1650795618,45.053417,7.705113,32.830101
1650795618,45.053417,7.705113,32.085896
1650795639,45.053116,7.705871,32.085896
1650795670,45.053017,7.706295,32.085896
1650795704,45.052162,7.707188,32.085896
1650795704,45.052162,7.707188,9.471821
1650795735,45.050934,7.706363,9.471821
1650795766,45.050182,7.706491,27.525917
1650795799,45.049320,7.706938,27.525917
1650795799,45.049320,7.706938,27.112514
1650795830,45.048611,7.707337,27.112514
1650795853,45.048046,7.707692,27.112514
1650795893,45.047535,7.708340,27.112514
1650795893,45.047535,7.708340,8.785040
1650795908,45.047588,7.708892,8.785040
1650795954,45.048038,7.709865,8.785040
1650795954,45.048038,7.709865,13.129046
1650795986,45.047832,7.710218,13.129046
1650795986,45.047832,7.710218,43.860954
1650796028,45.047325,7.710613,43.860954
1650796047,45.047215,7.711262,43.860954
1650796047,45.047215,7.711262,9.490932
1650796079,45.046288,7.711811,9.490932
1650796109,45.045933,7.712054,9.490932
1650796109,45.045933,7.712054,4.019301
1650796134,45.045128,7.712942,4.019301
1650796175,45.044380,7.713608,4.019301
1650796175,45.044380,7.713608,28.197578
1650796204,45.044273,7.714527,28.197578
1650796235,45.044178,7.715822,28.197578
1650796235,45.044178,7.715822,9.964952
1650796264,45.043896,7.716135,9.964952
1650796300,45.043587,7.715765,9.964952
1650796300,45.043587,7.715765,11.067252
1650796329,45.043076,7.715436,11.067252
1650796335,45.043179,7.715871,11.067252
1650796360,45.042873,7.715956,39.633759
1650796388,45.042450,7.715695,39.633759
1650796423,45.041370,7.715114,39.633759
1650796423,45.041370,7.715114,7.288428
1650796425,45.041676,7.715148,7.288428
1650796456,45.041245,7.715059,7.288428
1650796456,45.041245,7.715059,2.000000
1650796487,45.040489,7.714483,2.000000
1650796517,45.040516,7.713842,2.000000
1650796517,45.040516,7.713842,2.000000
1650796549,45.044292,7.716843,2.000000
1650796553,45.040070,7.714201,2.000000
1650796589,45.039909,7.713859,2.000000
1650796589,45.039909,7.713859,73.441750
1650796608,45.039692,7.713413,73.441750
1650796645,45.039852,7.711600,73.441750
1650796645,45.039852,7.711600,97.139709
